user_id,name,linkedin_company_id,linkedin_regularCompanyUrl,logoUrl,description,Website
1,American International Industries,330210,https://www.linkedin.com/sales/company/330210,https://media-exp1.licdn.com/dms/image/C560BAQF7PZKrEp5UkA/company-logo_400_400/0/1519877544557?e=1671667200&v=beta&t=pLubh4Bu7uTH_ecO2qSQN084DeHfwc-0tnTJM1ccGnc,"American International Industries is the leading manufacturer and distributor of innovative, quality beauty and skin care products for men and women. With thirty years of industry experience, we understand what it takes to be successful in the competitive and ever-changing world of beauty.

Headquartered in Los Angeles, California, we are at the heart of beauty and fashion. Our continued access to the latest trends has given way to fresh and innovative products. Our corporate headquarters occupy approximately 250,000 square feet and are comprised of executive and administrative offices, warehousing and on-site manufacturing and distribution facilities.

Our product lines include Andrea, Ardell, Body Drench, Checi, China Glaze, clean + easy, Clubman, EzFlow, Fright Night, Gena, GiGi, ibd, 'N Rage, Seche, ProLinc, SuperNail, Surgi-Care, Tres Flores, Gelaze, and Youthair to name a few. With nearly 40 brands, our niche products reach all segments of retail, beauty-supply, grocery, boutique and specialty markets in over 140 countries and are sold exclusively through distributors and wholesalers.

American International Industries is committed to creating innovative, market-driven products, providing both the consumer and the beauty professional quality and value.
Each of our product lines possess considerable brand equity and a distinct heritage. Our commitment to quality, value and innovation has led to highly visible, category-leading brands, placing American International Industries at the forefront of the beauty and personal care industries.",www.aiibeauty.com
1,Anna Sui,88360,https://www.linkedin.com/sales/company/88360,https://media-exp1.licdn.com/dms/image/C4E0BAQERuC_NEhYr5Q/company-logo_400_400/0/1522940488072?e=1671667200&v=beta&t=wKxn45iqt4x_2mdn9zSuqtpDhBYz5FA6lLh_RP7yY5o,n/a,www.annasui.com
1,Benefit Cosmetics,19295,https://www.linkedin.com/sales/company/19295,https://media-exp1.licdn.com/dms/image/C4E0BAQExpKVleu4kjQ/company-logo_400_400/0/1601071198187?e=1671667200&v=beta&t=m5jFp07J-ED3wjGRa_TsNe2oZ20FBwBMDQtJ6afsm88,"Benefit Cosmetics is the San Francisco-based makeup brand that believes laughter is the best cosmetic. Benefit is the No. 1 Brow Brand Worldwide and is synonymous with fun, instant beauty solutions. Founded in 1976, the beauty brand has swept the world with one-of-a-kind cult favorite products like Benetint, BADgal BANG Mascara, the POREfessional Face Primer, Hoola Bronzer, Precisely, My Brow Pencil and Gimme Brow+. Benefit is one of the fastest growing prestige beauty brands in the business with locations in 59 countries across 5 continents. With more than 3,000 BrowBars with over 6,000 aestheticians worldwide, Benefit has become the brow destination for both product and service! Benefit is part of the world’s leading luxury products group, Louis Vuitton Moet Hennessy.
 
At Benefit, everything we do and every product we make is to put a smile on people’s face. We do this by breaking rules with wit and wisdom, solving problems with courage and creativity and by always trying to make real connections with the people we work with and the customers we touch every day. If you work hard, play hard and love to laugh out loud, you are just what we are looking for to join the Benebabes. To explore how you can be a part of our feel good business, go to https://www.benefitcosmetics.com/en-us/careers

The Mission 
At Benefit, we believe that laughter is the best cosmetic and that makeup doesn’t have to be serious to look good. We believe that we are not only in the makeup business but in the feelgood business, because when we are laughing & having fun, that’s when we are at our most beautiful. We create instant beauty solutions that are the perfect storm of innovation, storytelling and creative names & packaging that will put a smile on your face. 
",www.benefitcosmetics.com
1,Boosh Plant-based Brands,27112350,https://www.linkedin.com/sales/company/27112350,https://media-exp1.licdn.com/dms/image/C560BAQFvch32CH2MwA/company-logo_400_400/0/1552588245429?e=1671667200&v=beta&t=0FgAEGhH-3V18bIYVcK5EyjTyda0ixhylv6ksLXLBZs,Today's consumers are looking for delicious plant-based food options. Boosh Food makes it easy with a line of heat ‘n eat single serving bowls and entrees for two.,www.booshfood.com
1,Burt's Bees,22679,https://www.linkedin.com/sales/company/22679,https://media-exp1.licdn.com/dms/image/C560BAQE2XmM02oOF5A/company-logo_400_400/0/1644941520256?e=1671667200&v=beta&t=bYUcba4spFErjUteI74AeU-WZcg8CdnQcwGHP95t6NY,"Burt's Bees is the #1 dermatologist recommended natural skincare brand, offering clean and consciously-crafted products to work with the skin and uplift the spirit. We believe that nature holds the key to healthy skin, so we create skin care formulas that are packed with powerful, nutrient-rich ingredients for skin that’s nourished, balanced and beautiful. 

Our formulas reflect evidence-based natural skin care learnings, and are crafted to work with skin’s natural pace of renewal by nourishing emerging cells and supporting the hydro-lipid barrier. Our nutrient-rich ingredients deliver vitamins, minerals, antioxidants, essential fatty acids, and other phytonutrients to address specific skin care concerns. Formulas are over 95% Natural Origin, with no animal testing, responsible sourcing, and recyclable packaging. 

As a company, Burt’s Bees operates with a triple bottom line - people, profit, planet - because you simply can’t have one without the other two. We actively nurture our employees, our customers, our families, ourselves and our environment. By practicing what we preach, we hope to set an example for others to follow, and help people connect with the wisdom, power and beauty of nature in their daily lives.",www.burtsbees.com
1,butter LONDON,416041,https://www.linkedin.com/sales/company/416041,https://media-exp1.licdn.com/dms/image/C560BAQEU05jYjeWqlw/company-logo_400_400/0/1519871317906?e=1671667200&v=beta&t=F3YyGvosgT8fF3-hlaBF_7uXuqRnmkyarBHE7I-sfH0,"We are butter LONDON the bon vivants of beauty...cultured, confident, expertly curated, divinely distinctive, and authentically inclusive.

butter LONDON boldly eschews conventional beauty... we believe playful is beautiful and we encourage you to live a little.

Founded in 2005 by British entrepreneur, Sasha Muir with the help of Nonie Creme, London's premier fashion manicurist, butter LONDON quickly became the world-renowned 3-Free nail lacquer brand with a huge cult following. Today we continue to lead industry innovation with imaginative products, and good-for-you formulations in our expanded colour repertoire for eyes, lip & face using the same ingenious carcinogen-free Crafted with Care approach to formulations. We are high-impact captivating colour without compromise.

Famous for unbridled creativity, self-expression, and unmistakable cheeky Brit wit... we're here to inspire. From our iconic ladylike botanical wallpaper emblazoned with faceted gems, bugs, and skulls to our distinctively charming shade names-think Disco Biscuit and Pink Knickers-if there's one thing you can expect it's the unexpected. 

Here's the clincher... butter LONDON is an American brand. Yep. Infinitely inspired (and a 'lil obsessed) with rebellious British creativity and the allure of LONDON-in all its energizing, eclectic, eccentric, glamorous glory. Doesn't everything sounds better with a British accent? We bring you imaginative London-inspired luxury (so you can skip the 14 hour flight).

By the by, we love demanding darlings who insist on colour without compromise. butter LONDON is luxe you can trust. Only the best for the best, expect nothing less.

We are makeup royalty...and we wear it very well.",www.butterlondon.com
1,C'est Moi Beauty,23697702,https://www.linkedin.com/sales/company/23697702,https://media-exp1.licdn.com/dms/image/C560BAQG0gH1PvueXcQ/company-logo_400_400/0/1563986386667?e=1671667200&v=beta&t=YPQL9z4hqpi1pSjmI_aqBf4VKE1pozM1V9iryPtxrtY,"At C’est Moi, we create clean, gentle and effective products that are game changers for anyone who has delicate, sensitive or congested skin. Your skin is the largest organ you have, and we believe in taking care of it. 
Preserving and nourishing your skin’s natural barrier with healthy ingredients and effective formulas to keep your skin balanced, calm and clear is what we do best. 

WE BELIEVE IN THE POWER OF:

Discovery.
Self-expression.
Curiosity.
Self-love.

...AND THAT BEAUTY SHOULD BE GOOD FOR YOU.

✔️ EWG Verified
✔️ No Animal Testing
✔️ Hypoallergenic 
✔️ Dermatologist Tested
✔️ Fragrance-Free Skin Care & Color
✔️ Talc Free Color Cosmetics",www.cestmoi.com
1,Cargo Cosmetics,98580,https://www.linkedin.com/sales/company/98580,https://media-exp1.licdn.com/dms/image/C510BAQEjMOb7MDxLbQ/company-logo_400_400/0/1519912615708?e=1671667200&v=beta&t=_5oURyrHjUGdD-sZwhT7og-tJ3VCUjYHZsn09KyWfJA,"For 15 years Cargo Cosmetics has been a staple on the sets of film and television as well as in the makeup bags of women worldwide.  Uncompromised product quality and first-to-market innovations have created a loyal following amongst the world’s most renowned makeup artists.  By consulting with and listening to the needs of makeup professionals and consumers, Cargo Cosmetics takes their “secret tips” and turns them into better, easier and smarter products.  From high-definition foundations that create flawless skin but escape the scrutiny of high-def cameras to cutting-edge packaging and expertly coordinated kits that offer step-by-step regimens, Cargo Cosmetics offers a wide breath of color cosmetics and tools that allow every woman to customize her beauty look with confidence and ease.  An industry insider favorite, Cargo Cosmetics has received some of the beauty industry’s most prestigious awards and accolades. Visit www.Cargocosmetics for additional information and product availability.

Keep up with Cargo Cosmetics..
Facebook: https://www.facebook.com/CargoCosmetics
Twitter: https://twitter.com/Cargocosmetics
Instagram: http://instagram.com/Cargocosmetics
YouTube: https://www.youtube.com/user/CargoCosmetics",www.Cargocosmetics.com
1,Christian Dior Couture,17577,https://www.linkedin.com/sales/company/17577,https://media-exp1.licdn.com/dms/image/C4D0BAQFf1jQWl-iyPw/company-logo_400_400/0/1626013599788?e=1671667200&v=beta&t=CBNMBy1HekGHsC3CRL0NJ6ZOeRcPTAqyTfvJ2RiJzSg,"Welcome to Christian Dior Couture, House of Dreams, House of Talents.

Christian Dior was the designer of dreams. In founding his House in 1947, marked by the revolution of the New Look, he metamorphosed his reveries into wonderful creations. His visionary spirit never ceased to make Clients all over the world feel more beautiful, an inspiration for his successors to this day. 

Christian Dior Couture, the House of Dreams, is recognized for its French heritage & vibrant culture sublimating its unique Savoir-faire and Creativity through empowering ""metiers d’art”. Our Maison is a destination for sustainable growth & success where we shape the future of our Talents in a positive, authentic & generous environment. We bloom & deliver excellence with passion, determination, courage & optimism to offer meaningful & daring codes.

Rich in exceptional heritage, with a community of more than 8.000 talents, our House embodies Christian Dior’s “House of Talents” today more than ever. ",www.dior.com
1,Clinique,4058,https://www.linkedin.com/sales/company/4058,https://media-exp1.licdn.com/dms/image/C560BAQFS8ulqoQ9nsw/company-logo_400_400/0/1519855981077?e=1671667200&v=beta&t=mliKNXJnjpv0X64Y58r7tTQ2fN9z2SyjsTvOybsdCaw,"Clinique was founded by The Estee Lauder Companies in 1968 as the first dermatologist-created, prestige cosmetic brand. Sold in approximately 140 countries and territories, Clinique's mission today remains what it was from the beginning: to provide the highest quality and most effective products to enhance every skin type and concern, offering products for men and women of all ages and ethnicities.

Our smart approach to beauty resonates around the world. From simple skin routines that bring remarkable results, to the expressive power of makeup, made effortless. We offer customized solutions for all skin types and tones. Why not join us? It’s rewarding to help others look and feel fabulous.",www.clinique.com
